Mon Sep 21 17:12:52 2026    /Users/alansynn/Workspace/solweig-light-claude-v5/optimization_v6_continue/evidence/campaign_synthetic/runs/profile_t1024_tile0_0/pstats/profile_r0.pstats

         13696321 function calls (13669123 primitive calls) in 136.120 seconds

   Ordered by: cumulative time
   List reduced from 3389 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   145635    0.039    0.000    0.048    0.000 /opt/homebrew/Cellar/python@3.11/3.11.16/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:539(_push_exit_callback)
   278528    0.039    0.000    0.116    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/numeric.py:483(count_nonzero)
   233472    0.038    0.000    0.045    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/patch_radiation.py:104(<genexpr>)
   195618    0.037    0.000    0.037    0.000 {built-in method builtins.hasattr}
    98304    0.036    0.000   19.559    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/radiation/cylinder_longwave.py:350(<genexpr>)
   234392    0.035    0.000    0.035    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numba/typed/typedlist.py:280(_numba_type_)
    28672    0.035    0.000    0.251    0.000 /Users/alansynn/Workspace/solweig-light/.venv-light/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:2548(all)
   233472    0.033    0.000    0.041    0.000 /Users/alansynn/Workspace/solweig-light-claude-v5/src/solweig_light/geometry/visibility_compiled.py:130(<genexpr>)
     6745    0.033    0.000    0.033    0.000 {method 'read' of '_io.FileIO' objects}


